Industries,sub_vessel_type_AIS,conversion
1,Animal products,2.0081570618030098e-06
1,Cement Carrier,8.887227764932198e-06
1,Chemical Products,0.016806698333491337
1,Chemical Tanker,3.656658477132258e-05
1,Container,0.2153740355694583
1,Dry Bulk,0.19734529520043778
1,Forest,0.22912067076369036
1,General Cargo,0.06347737358306525
1,LPG/LNG,8.668219015566342e-08
1,Oil And Chemical Tanker,1.4401861088286436e-06
1,Oil Products,0.021685303724918635
1,Oil Tanker,7.307340020690299e-06
1,Ore Carrier,1.4878395066430844e-05
1,Reefer,0.6518000540517619
1,Ro Ro Cargo Ship,0.0006749964863495784
1,Vehicles Carrier,0.058908143292499694
2,Animal products,2.0333727209490062e-07
2,Cement Carrier,0.001771194349219969
2,Chemical Products,0.005797943111097226
2,Container,0.0033338843723507835
2,Dry Bulk,0.0006437467644781767
2,Forest,0.003741475001038878
2,General Cargo,0.007918870307470042
2,LPG/LNG,5.2608012524153e-06
2,Oil Products,0.00872385949191128
2,Oil Tanker,3.8122366173073034e-06
2,Reefer,3.1881491932799123e-06
2,Ro Ro Cargo Ship,0.07391493285660526
2,Vehicles Carrier,0.013467977254373221
3,Animal products,2.6891352665621397e-07
3,Bitumen Tanker,9.264067043188311e-07
3,Cement Carrier,0.13107325469661274
3,Chemical Products,0.0764507076587437
3,Chemical Tanker,6.154094648190913e-06
3,Container,0.07895205920416153
3,Dry Bulk,0.30484021831413605
3,Forest,0.18326693514149614
3,General Cargo,0.09242014232685498
3,LPG/LNG,0.28276378265426927
3,Molasses Tanker,1.0011449035097642
3,Oil Products,0.2612314635039363
3,Oil Tanker,0.701101694295973
3,Ore Carrier,0.9998661124588956
3,Reefer,0.05608916932323332
3,Ro Ro Cargo Ship,0.07091392538943476
3,Vehicles Carrier,6.373908361809837e-08
4,Animal products,0.9999843968374218
4,Cement Carrier,9.938575994275624e-06
4,Chemical Products,0.1077619592032559
4,Chemical Tanker,1.868795563783256e-05
4,Container,0.18619200238082295
4,Dry Bulk,0.10099356499043091
4,Forest,0.02526531433364846
4,General Cargo,0.07401598399556034
4,LPG/LNG,6.395814062720095e-07
4,Oil And Chemical Tanker,7.240872687939754e-08
4,Oil Tanker,1.2593261373595188e-05
4,Ore Carrier,1.0169596293466842e-05
4,Reefer,0.14420750952698225
4,Ro Ro Cargo Ship,0.3154237996502428
4,Vehicles Carrier,0.049521561143186614
5,Chemical Products,0.034669862099759495
5,Container,0.036206422464362675
5,Dry Bulk,3.041360444535243e-05
5,Forest,1.4445836666914835e-06
5,General Cargo,0.020910734553742157
5,LPG/LNG,3.079728030214082e-06
5,Oil Products,0.0016440760557471098
5,Oil Tanker,6.690071565024411e-06
5,Ore Carrier,1.648963689836932e-05
5,Reefer,0.023947963423703544
5,Ro Ro Cargo Ship,0.040838735043883766
5,Vehicles Carrier,0.001202901718806615
6,Animal products,3.9415103174383135e-07
6,Bitumen Tanker,8.35004267894636e-06
6,Cement Carrier,0.2681311951006902
6,Chemical Products,1.54838210201085e-05
6,Chemical Tanker,1.5345994629694798e-05
6,Container,0.14144843005723837
6,Dry Bulk,0.03382238349800182
6,Forest,0.32873296663886364
6,General Cargo,0.08604441888036632
6,LPG/LNG,7.921716363615255e-06
6,Oil And Chemical Tanker,7.464849803755296e-06
6,Oil Products,1.009617221710281e-05
6,Oil Tanker,3.782742361525765e-06
6,Ore Carrier,2.0699273794338326e-05
6,Ro Ro Cargo Ship,0.11639586648737059
6,Vehicles Carrier,0.05191104648318025
7,Animal products,8.554585767481446e-08
7,Bitumen Tanker,0.9022213321100021
7,Cement Carrier,0.48290503848322425
7,Chemical Products,0.6466751029685519
7,Chemical Tanker,0.9663210718576669
7,Container,0.19091002171941285
7,Dry Bulk,0.3044637191954733
7,Forest,0.2298803317605149
7,General Cargo,0.24512556946432598
7,LPG/LNG,0.7172004998946133
7,Oil And Chemical Tanker,0.9999935747730512
7,Oil Products,0.6094382549641092
7,Oil Tanker,0.2852561647593912
7,Ore Carrier,7.668818481515226e-06
7,Other Tanker,1.0001169674850627
7,Reefer,0.08078541059188374
7,Ro Ro Cargo Ship,0.23826139938626154
7,Vehicles Carrier,0.2859214975916227
8,Animal products,1.6433619842725896e-07
8,Cement Carrier,0.09305719944819729
8,Chemical Products,0.06762123101491117
8,Container,0.053301650424708275
8,Dry Bulk,0.0492490748056495
8,Forest,1.4515512823201184e-06
8,General Cargo,0.20908495262565335
8,LPG/LNG,3.882530243666061e-06
8,Oil Products,0.06627335078811196
8,Oil Tanker,0.013571553225209143
8,Ore Carrier,1.3456354236332409e-05
8,Ro Ro Cargo Ship,0.024965452169556583
8,Vegetable Oil Tanker,1.0000580698351529
8,Vehicles Carrier,0.08031253024564601
9,Cement Carrier,0.02299595339581709
9,Chemical Products,0.004911817618554589
9,Container,0.056577731342716146
9,Dry Bulk,0.0011599105815630133
9,Forest,1.1944502374940442e-06
9,General Cargo,0.11458810127944712
9,Oil Products,0.02829407990739265
9,Oil Tanker,1.2888853290359887e-05
9,Ore Carrier,1.2698481445445323e-05
9,Reefer,0.020921152831045977
9,Ro Ro Cargo Ship,0.07067411832288087
9,Vehicles Carrier,0.07935021146306746
10,Animal products,1.2206316687845567e-07
10,Bitumen Tanker,0.0977753424249154
10,Cement Carrier,4.075963440228168e-05
10,Chemical Products,0.024368683515098414
10,Chemical Tanker,0.033645225702130216
10,Container,0.01246832018486995
10,Dry Bulk,0.007420116336591052
10,Forest,5.44789611883977e-06
10,General Cargo,0.08292401530095918
10,LPG/LNG,1.5406349040774912e-05
10,Oil And Chemical Tanker,1.033549714126902e-06
10,Oil Products,0.0027180267326537898
10,Oil Tanker,8.112872445122832e-06
10,Ore Carrier,6.650237732880532e-06
10,Reefer,0.022245918870354067
10,Ro Ro Cargo Ship,0.04200444765986055
10,Vehicles Carrier,0.37617399421174524
11,Animal products,1.0279134604012417e-07
11,Bitumen Tanker,9.067446640742676e-08
11,Cement Carrier,7.847618278464933e-06
11,Chemical Products,0.01490902084343858
11,Container,0.025234925286452763
11,Dry Bulk,2.484196811830981e-05
11,General Cargo,0.0034883398207969183
11,Oil And Chemical Tanker,4.3957066511935074e-07
11,Oil Tanker,1.2100242053702627e-05
11,Ore Carrier,9.848852644147676e-06
11,Reefer,9.624433737830159e-07
11,Ro Ro Cargo Ship,0.005944078579449405
11,Vehicles Carrier,0.003229227249720502
